         3067969 function calls (3067919 primitive calls) in 139.101 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1245    0.003    0.000    0.078    0.000 threading.py:357(notify_all)
    15182    0.032    0.000    0.163    0.000 threading.py:498(__init__)
    34001    0.009    0.000    0.009    0.000 threading.py:506(is_set)
    15182    0.093    0.000    2.692    0.000 threading.py:533(wait)
    13749    0.037    0.000    0.037    0.000 threading.py:727(_newname)
    13749    0.141    0.000    0.393    0.000 threading.py:757(__init__)
    13749    0.095    0.000    2.209    0.000 threading.py:828(start)
     3789    0.013    0.000    0.014    0.000 threading.py:966(_stop)
     1243    0.009    0.000    0.021    0.000 unsupervised.py:116(__init__)
       72    0.000    0.000    0.001    0.000 util.py:136(register_after_fork)
     1407    0.025    0.000    0.028    0.000 util.py:151(__init__)
     1407    0.013    0.000  128.372    0.091 util.py:167(__call__)
      144    0.005    0.000    0.009    0.000 util.py:395(_flush_std_streams)
     1407    0.001    0.000    0.001    0.000 util.py:44(sub_debug)
    19092    0.009    0.000    0.009    0.000 util.py:48(debug)
     2507    0.006    0.000    0.015    0.000 validation.py:104(_num_samples)
     2507    0.013    0.000    0.033    0.000 validation.py:125(_shape_repr)
     7521    0.010    0.000    0.010    0.000 validation.py:152(<genexpr>)
     2507    0.038    0.000    0.207    0.000 validation.py:310(check_array)
     2507    0.034    0.000    0.095    0.000 validation.py:33(_assert_all_finite)
       18    0.000    0.000    0.001    0.000 validation.py:57(as_float_array)
       36    0.001    0.000    0.001    0.000 validation.py:617(check_random_state)
        1    0.000    0.000    0.000    0.000 validation.py:720(check_is_fitted)
        1    0.000    0.000    0.000    0.000 validation.py:767(<listcomp>)
       54    0.008    0.000    0.160    0.003 wKmeans.py:200(_cluster_points)
       54    0.000    0.000    0.000    0.000 wKmeans.py:204(<listcomp>)
       54    0.000    0.000    0.000    0.000 wKmeans.py:205(<listcomp>)
      927    0.014    0.000    0.146    0.000 wKmeans.py:213(<listcomp>)
